Leff,Vth,Tox,Vdd,Power dissipation (W),Delay (s)
3.05,0.46416,1.7,0.94726,36.2,1.33
2.5,0.50611,1.66,0.86708,21.3,2.24
2.41,0.47891,1.59,0.83876,20.1,1.54
2.84,0.49329,1.54,0.90185,21.8,1.41
2.62,0.58182,1.6,0.96583,44.7,0.655
1.95,0.49536,1.51,0.99634,42.4,1.28
2.47,0.47509,1.65,0.85832,29.5,1.73
2.4,0.52833,1.65,0.9641,34.3,1.28
3.18,0.53177,1.58,0.94492,24.6,2.04
3.04,0.61119,1.66,0.9873,44.5,0.5209999999999999
2.79,0.45793,1.73,0.75361,16.8,3.94
2.5,0.53383,1.61,1.0485,44.2,0.699
2.74,0.50008,1.61,0.94666,37.1,1.42
2.99,0.46884,1.57,0.8748,26.9,1.83
3.0,0.4437,1.67,0.92299,28.5,1.41
2.55,0.49949,1.61,0.82532,18.6,1.95
3.3,0.57519,1.61,0.75753,13.6,1.8
2.17,0.52835,1.79,0.88066,28.7,0.8310000000000001
2.57,0.50231,1.64,0.93783,18.4,2.43
2.69,0.47662,1.63,0.93163,26.1,1.02
1.94,0.40384,1.67,0.96696,30.1,1.32
2.9,0.52081,1.65,0.98348,41.5,0.873
2.99,0.4108,1.74,1.1207,53.2,1.02
2.82,0.52916,1.51,0.92066,31.0,1.74
2.8,0.46722,1.68,0.93132,25.5,1.91
2.66,0.42742,1.63,0.97467,34.7,1.06
2.87,0.65298,1.58,0.86066,17.8,2.24
2.76,0.49131,1.68,1.0071,38.09999999999999,0.8550000000000001
2.77,0.3196,1.73,1.0035,49.4,0.744
2.52,0.44689,1.69,1.0089,53.1,1.11
2.24,0.49473,1.65,0.86479,22.8,3.32
3.67,0.42294,1.78,1.0354,49.1,0.699
2.42,0.58999,1.68,0.97712,37.3,1.57
3.0,0.43262,1.53,0.99476,37.8,1.29
2.54,0.56066,1.58,0.96978,29.9,1.85
2.12,0.50188,1.64,0.77119,11.8,3.4
2.76,0.31267,1.59,0.84585,30.3,0.617
2.98,0.46007,1.7,0.72216,14.2,2.54
2.62,0.39751,1.81,0.88555,27.1,0.9480000000000001
2.2,0.52771,1.58,1.0355,46.7,0.743
2.61,0.59409,1.55,0.88992,23.1,2.67
3.06,0.51828,1.56,0.89443,16.2,2.02
3.18,0.5475,1.63,0.94704,19.6,1.4
2.81,0.52541,1.64,1.0312,53.7,0.369
3.29,0.48159,1.7,1.0029,34.2,1.89
2.95,0.51303,1.71,1.0392,59.8,0.599
2.94,0.55845,1.51,0.98877,54.1,0.049
3.1,0.53328,1.65,0.78906,25.5,2.08
2.34,0.40742,1.71,0.99339,38.6,1.04
3.0,0.46433,1.6,0.92444,31.0,1.61
1.77,0.48436,1.54,0.83042,19.2,2.27
2.44,0.49156,1.63,0.85157,21.1,1.33
1.54,0.48271,1.71,0.99561,38.09999999999999,0.884
2.25,0.48629,1.58,0.91872,24.3,2.07
3.21,0.45125,1.61,0.81969,17.1,1.81
2.7,0.58509,1.67,0.83157,13.8,1.9
2.31,0.72848,1.59,0.78128,12.6,1.73
3.03,0.51929,1.56,0.9591,45.8,0.274
2.2,0.50758,1.66,0.92643,26.7,2.38
2.88,0.45134,1.66,0.85391,27.4,1.35
2.96,0.45747,1.57,0.91859,38.0,0.922
3.21,0.51266,1.69,0.86422,29.1,0.82
2.67,0.43705,1.69,1.0448,32.3,1.4
2.45,0.45308,1.6,1.0043,42.0,0.921
2.23,0.46078,1.7,0.95072,32.4,1.8
2.41,0.49388,1.68,0.72111,12.6,2.77
2.21,0.51188,1.59,0.96003,34.0,0.626
3.35,0.47458,1.68,1.02,50.2,0.8540000000000001
2.2,0.61454,1.59,0.91034,25.5,0.9349999999999999
2.88,0.46595,1.62,0.96236,33.1,1.11
2.93,0.43475,1.68,0.92789,19.5,2.37
2.5,0.47293,1.61,0.95162,29.0,0.945
3.07,0.52951,1.58,0.98735,39.2,1.08
3.12,0.51827,1.68,0.67988,15.2,2.31
2.78,0.48063,1.63,1.0207,49.9,0.57
2.77,0.45422,1.7,0.95265,40.8,1.41
3.05,0.57169,1.75,1.0482,40.9,1.34
3.27,0.50341,1.57,0.90768,22.8,2.33
1.28,0.33764,1.64,0.93772,26.6,1.22
3.62,0.51385,1.63,0.93168,34.1,0.989
2.16,0.51208,1.62,0.82356,22.6,1.97
2.04,0.50345,1.59,0.87351,28.2,1.13
2.37,0.42304,1.77,0.75103,14.4,2.47
2.44,0.5062,1.69,0.91386,34.2,0.6659999999999999
2.54,0.53327,1.67,0.95476,28.2,1.65
2.42,0.4529,1.64,0.95624,40.4,0.891
3.0,0.52205,1.67,0.7875,19.4,2.51
3.1,0.65715,1.67,1.0139,46.8,0.626
3.17,0.58116,1.68,0.90705,31.8,1.8
2.93,0.47405,1.61,0.90361,23.3,1.96
2.33,0.54979,1.63,0.84894,21.4,1.47
2.14,0.5989,1.75,0.88643,37.2,0.795
2.31,0.40645,1.57,0.91913,20.859,1.01
2.14,0.45121,1.67,0.97842,34.7,0.7859999999999999
2.75,0.60546,1.66,0.9947,32.8,0.625
3.03,0.5256,1.71,0.91783,24.0,1.95
3.0,0.55358,1.72,0.89671,25.9,1.22
2.84,0.41625,1.74,0.84709,19.9,1.81
3.2,0.42965,1.67,0.99234,31.4,0.9770000000000001
3.7,0.49438,1.64,0.80401,19.5,1.88
2.89,0.50268,1.54,0.86841,16.8,1.96
2.92,0.50953,1.67,0.81432,21.8,0.993
2.42,0.53375,1.75,0.75401,10.8,3.35
2.67,0.48923,1.62,1.0519,44.9,0.382
3.21,0.63017,1.61,0.9555,28.2,2.14
2.5,0.49284,1.67,0.8988,28.5,1.33
2.56,0.55806,1.64,0.96982,34.6,1.1
3.18,0.48397,1.65,0.88647,19.2,2.35
2.38,0.59597,1.62,1.037,57.9,0.437
2.84,0.49621,1.66,0.81278,22.1,2.71
2.99,0.57242,1.69,0.82347,24.0,1.23
2.88,0.50472,1.75,1.0015,40.59999999999999,1.07
2.73,0.65301,1.61,0.89927,35.1,1.34
2.65,0.55271,1.68,1.0462,54.9,0.731
3.42,0.5774,1.64,0.86475,30.8,1.96
2.82,0.43441,1.63,0.94555,44.2,0.821
2.44,0.48029,1.82,0.70995,18.9,2.53
1.87,0.49635,1.58,0.80152,18.5,1.57
2.82,0.58881,1.58,0.94163,31.0,0.9610000000000001
3.1,0.37937,1.66,0.76166,18.6,1.84
2.91,0.49263,1.63,0.96457,34.1,1.03
2.7,0.49934,1.68,0.813,22.2,1.88
2.52,0.53377,1.75,0.94665,25.8,1.39
2.93,0.42019,1.77,0.87426,22.4,1.5
3.17,0.43892,1.57,0.95529,31.8,0.9690000000000001
3.15,0.48492,1.73,1.0275,31.0,1.64
2.57,0.54163,1.57,0.873,27.1,1.39
2.3,0.36737,1.68,0.9351,31.8,1.25
2.28,0.36995,1.71,0.98347,23.9,2.06
2.7,0.50716,1.67,0.85796,22.7,1.28
2.71,0.56272,1.63,1.0046,34.2,1.07
3.12,0.449,1.64,0.80463,18.1,2.23
2.19,0.49398,1.57,0.93356,37.1,0.676
2.68,0.58868,1.64,0.9536,35.3,1.48
2.33,0.57832,1.68,0.88581,31.9,1.47
2.31,0.42612,1.68,0.91417,30.3,1.42
2.4,0.5007,1.67,0.90951,27.7,1.62
2.19,0.59867,1.65,0.76586,20.7,1.6
2.59,0.56425,1.66,1.0348,28.2,1.38
2.9,0.61195,1.59,0.92102,36.4,0.754
2.98,0.44101,1.73,0.95493,22.6,2.46
2.76,0.46031,1.8,0.89011,29.6,0.939
2.98,0.39381,1.67,0.91794,24.4,1.83
2.64,0.61766,1.61,0.76953,14.7,2.03
1.74,0.55126,1.71,0.97074,51.40000000000001,0.341
2.61,0.55002,1.67,1.0073,40.1,0.303
2.53,0.55049,1.6,0.92525,32.1,1.55
2.49,0.41479,1.59,0.96316,26.4,0.92
2.67,0.51685,1.62,0.97825,33.5,1.04
2.97,0.52347,1.64,0.89903,45.7,0.7629999999999999
2.88,0.54271,1.66,1.1091,53.6,1.28
2.76,0.50857,1.58,0.97661,36.4,1.71
3.84,0.59627,1.6,0.82742,22.0,2.18
2.42,0.51631,1.7,1.0025,34.9,0.877
2.69,0.44851,1.57,1.0121,42.4,0.9569999999999999
2.95,0.54895,1.54,0.95182,35.9,1.53
3.11,0.55464,1.76,0.78042,17.0,2.52
2.44,0.54525,1.75,0.9465,33.9,0.764
2.0,0.40073,1.75,1.0334,44.1,0.9859999999999999
2.83,0.56809,1.65,0.97995,41.2,1.31
2.99,0.60566,1.73,0.90675,23.7,2.33
2.75,0.59413,1.65,0.9284,27.9,1.16
2.58,0.50461,1.64,0.90119,22.0,1.84
3.0,0.48233,1.65,0.85179,21.6,1.46
2.61,0.47423,1.48,0.8485,10.9,4.11
2.68,0.52578,1.63,0.67275,14.6,0.863
2.32,0.4977,1.58,0.89316,27.5,0.968
1.96,0.56179,1.7,1.0997,71.0,0.415
2.98,0.51211,1.57,1.0301,43.4,1.8
2.89,0.56993,1.7,1.0356,34.1,1.68
2.93,0.50996,1.61,0.9767,32.9,1.31
3.07,0.53717,1.66,0.89783,35.9,1.1
3.0,0.47184,1.68,0.81781,16.6,3.28
3.09,0.47935,1.71,0.85264,26.6,0.906
2.0,0.4528,1.75,0.86877,25.2,1.38
2.84,0.46297,1.54,0.94198,33.59999999999999,0.4939999999999999
2.07,0.53129,1.76,0.77126,14.2,2.8
2.74,0.44925,1.6,0.9535,30.3,0.823
3.15,0.52387,1.78,0.75326,14.5,2.47
3.51,0.41744,1.6,0.86662,18.7,1.26
2.66,0.46424,1.64,1.0486,48.5,0.609
3.34,0.48487,1.52,0.95781,34.0,1.52
3.5,0.43098,1.69,0.99955,28.5,1.73
2.97,0.51065,1.66,0.94261,37.5,0.893
2.67,0.48433,1.52,0.87594,31.3,1.44
2.96,0.63459,1.48,0.9017,27.371,1.75
3.44,0.50722,1.61,0.97365,33.5,1.12
2.4,0.50005,1.67,0.8607,23.3,1.8
2.53,0.49883,1.72,0.73735,13.0,2.22
1.53,0.55914,1.59,0.87201,31.3,0.721
2.42,0.44984,1.68,1.0734,39.0,1.26
2.86,0.46641,1.59,0.98665,29.8,1.71
1.72,0.5995,1.54,0.75539,13.7,2.47
2.18,0.5251,1.71,0.87069,28.7,0.764
3.11,0.47527,1.55,1.0372,40.0,1.13
1.53,0.46891,1.61,0.77926,16.2,2.61
2.93,0.50115,1.66,0.88313,21.4,1.2
2.91,0.48014,1.6,0.84197,25.5,1.1
2.9,0.50981,1.65,0.9727,38.271,0.879
2.92,0.48229,1.67,0.89196,18.4,3.03
2.13,0.48946,1.61,0.81362,24.1,0.914
2.95,0.48583,1.7,0.85938,19.6,1.9
3.23,0.45105,1.73,0.74967,17.0,1.55
2.84,0.53092,1.59,0.83812,20.7,1.3
3.34,0.30617,1.79,0.8319,13.5,2.2
2.76,0.53872,1.58,0.9309,27.8,0.7360000000000001
2.57,0.5312,1.66,1.1009,59.7,0.555
3.01,0.47151,1.62,0.91515,30.4,2.31
3.05,0.51902,1.71,1.0642,60.8,0.627
2.63,0.49808,1.73,0.94189,21.8,1.17
3.37,0.5013,1.71,0.81054,16.6,1.74
2.55,0.55861,1.69,0.91686,40.1,0.481
2.34,0.3667,1.74,1.0165,46.0,1.22
2.92,0.5261,1.62,0.88654,23.9,2.4
2.84,0.45563,1.69,0.77864,15.3,2.13
2.66,0.44435,1.59,1.1207,62.5,0.257
3.01,0.52157,1.62,0.91526,25.2,3.24
3.2,0.51025,1.69,0.73633,12.2,2.49
2.32,0.52811,1.6,0.79892,18.2,1.28
2.38,0.53608,1.65,0.92865,52.0,0.309
2.48,0.55539,1.6,0.95902,36.8,2.19
2.21,0.52715,1.6,0.87593,32.5,1.27
2.12,0.45161,1.58,0.80669,22.6,1.89
2.06,0.47484,1.55,0.90093,26.5,1.34
3.4,0.51659,1.67,0.97095,39.8,0.851
2.53,0.54745,1.66,0.95337,40.4,1.29
2.66,0.52414,1.55,0.84595,23.8,2.12
2.29,0.5699,1.5,0.92062,22.0,1.74
2.27,0.4803,1.73,0.93564,40.7,0.638
2.71,0.575,1.76,0.86651,22.5,2.43
2.71,0.37909,1.71,0.88395,18.9,1.74
3.14,0.57438,1.63,0.74529,14.2,1.7
3.02,0.40976,1.66,0.91824,34.9,0.626
2.29,0.50462,1.7,0.92124,39.5,1.12
2.77,0.3934,1.61,0.94202,44.8,1.33
2.01,0.5198,1.55,0.79374,16.4,4.55
